date;MARKET INDEX;INTEREST RATE;SMB;HML;MOM
2/10/2001;0,0116;0,0001;0;-0,004;0,001
3/10/2001;0,0225;0,0001;0,0081;-0,011;-0,0143
4/10/2001;-0,0006;0,0001;0,014;-0,007;-0,0151
5/10/2001;0,0002;0,0001;-0,0005;-0,0098;-0,0053
8/10/2001;-0,0075;0,0001;0,0038;-0,0061;-0,0091
9/10/2001;-0,005;0,0001;-0,0023;0,0004;0,0059
10/10/2001;0,0223;0,0001;0,0068;-0,0085;-0,0137
11/10/2001;0,0177;0,0001;0,008;-0,0079;-0,0268
12/10/2001;-0,0051;0,0001;0,0012;-0,005;-0,0079
15/10/2001;-0,0009;0,0001;0,004;-0,0006;0,0034
16/10/2001;0,0078;0,0001;0,0038;-0,0022;-0,0059
17/10/2001;-0,0195;0,0001;-0,0017;0,0076;0,0153
18/10/2001;-0,0073;0,0001;0,001;-0,0052;0,0066
19/10/2001;0,0053;0,0001;0,0059;-0,0048;0,0024
22/10/2001;0,0144;0,0001;-0,002;-0,006;-0,009
23/10/2001;-0,0045;0,0001;-0,0004;0,0035;-0,0031
24/10/2001;0,0004;0,0001;0,0033;-0,0074;-0,0088
25/10/2001;0,0134;0,0001;0,0051;-0,0067;-0,0126
26/10/2001;0,0046;0,0001;0,0034;-0,0003;-0,0046
29/10/2001;-0,0224;0,0001;0,0045;0,008;0,0161
30/10/2001;-0,0173;0,0001;0;0,0087;0,0151
31/10/2001;0,0017;0,0001;0,0117;-0,0039;-0,0072
1/11/2001;0,0204;0,0001;-0,0086;-0,0028;-0,0095
2/11/2001;0,0028;0,0001;-0,0061;0,0014;0,0033
5/11/2001;0,0139;0,0001;-0,0051;-0,0035;-0,0141
6/11/2001;0,0136;0,0001;-0,0034;-0,0019;-0,009
7/11/2001;-0,0016;0,0001;0,0025;-0,0039;-0,0055
8/11/2001;0,0011;0,0001;-0,006;0,0067;-0,009
9/11/2001;0,0009;0,0001;-0,0036;0,004;-0,0018
