date;mkt;SMB;HML;RMW;CMA;RF
2/7/1990;0,0033;-0,0036;-0,0012;0,0029;-0,0004;0,0003
3/7/1990;0,0017;-0,0008;-0,004;0,004;-0,0023;0,0003
4/7/1990;0,0002;-0,0002;0,0002;-0,0001;0,0001;0,0003
5/7/1990;-0,0097;0,0046;0,0008;-0,0008;-0,0001;0,0003
6/7/1990;0,0059;-0,0052;-0,0034;0,0039;-0,0003;0,0003
9/7/1990;0,0023;-0,002;-0,0005;0,0016;-0,0033;0,0003
10/7/1990;-0,0059;0,0051;-0,0013;0,001;-0,0018;0,0003
11/7/1990;0,0101;-0,0065;-0,0034;0,001;-0,0024;0,0003
12/7/1990;0,0103;-0,0051;-0,0066;-0,0004;0,0007;0,0003
13/7/1990;0,005;-0,0008;-0,0025;0,0016;-0,003;0,0003
16/7/1990;0,0042;-0,0036;-0,0027;-0,0001;-0,0017;0,0003
17/7/1990;-0,0039;-0,0019;0,0042;-0,0022;0,0038;0,0003
18/7/1990;-0,0083;0,0029;0,004;-0,0027;0,0033;0,0003
19/7/1990;0,0012;-0,0063;-0,0015;0,0007;0,0026;0,0003
20/7/1990;-0,0079;0,0064;-0,0019;0,0001;0,0033;0,0003
23/7/1990;-0,0175;-0,0047;0,0094;-0,0039;0,0084;0,0003
24/7/1990;0,0003;-0,0002;-0,001;-0,0031;0,006;0,0003
25/7/1990;0,0039;0,0002;-0,0018;-0,0003;-0,0028;0,0003
26/7/1990;-0,0021;0,005;-0,0019;-0,0006;-0,0027;0,0003
27/7/1990;-0,0061;0,0029;0,0031;-0,0026;0,0049;0,0003
30/7/1990;0,0027;-0,0099;0,002;0,0025;0,0052;0,0003
31/7/1990;0,0014;-0,0037;0,0003;-0,0001;0,0068;0,0003
1/8/1990;-0,0013;-0,0021;-0,0042;0,002;0,0039;0,0003
2/8/1990;-0,0108;-0,0006;0,0048;-0,0102;0,0115;0,0003
3/8/1990;-0,0171;-0,0068;0,0054;-0,0035;0,0032;0,0003
6/8/1990;-0,0308;0,0005;0,0137;-0,0115;0,0186;0,0003
7/8/1990;0,0015;-0,0013;-0,0061;0,0054;-0,0046;0,0003
8/8/1990;0,0105;0;-0,0086;0,0071;-0,0091;0,0003
9/8/1990;0,0062;0,0016;-0,0071;0,0012;-0,0072;0,0003
10/8/1990;-0,0106;0,0021;0,0055;-0,0068;0,0064;0,0003
13/8/1990;0,0067;-0,0101;-0,0037;0,0027;0,001;0,0003
14/8/1990;0,0028;0,0023;-0,0041;-0,0017;-0,0015;0,0003
15/8/1990;0,0027;-0,0002;-0,0026;0,001;-0,0009;0,0003
16/8/1990;-0,02;0,0052;0,008;-0,0076;0,0075;0,0003
17/8/1990;-0,0139;-0,0033;0,0063;-0,0051;0,0103;0,0003
20/8/1990;-0,0006;-0,0078;0,0048;-0,0014;0,0072;0,0003
21/8/1990;-0,0184;-0,0019;0,0087;-0,0047;0,0058;0,0003
22/8/1990;-0,0145;0,0041;0,0073;-0,0032;0,0016;0,0003
23/8/1990;-0,0303;-0,0087;0,0178;-0,0038;0,0066;0,0003
24/8/1990;0,0133;-0,0062;-0,0133;0,0073;-0,0171;0,0003
27/8/1990;0,0294;-0,001;-0,0202;0,0143;-0,0143;0,0003
28/8/1990;0,0007;0,0054;-0,0047;0,0023;-0,0012;0,0003
29/8/1990;0,0072;-0,0045;0,0002;0,0017;0,0025;0,0003
30/8/1990;-0,0131;0,0093;0,003;-0,0045;0,0028;0,0003
31/8/1990;0,0086;-0,0093;-0,0031;0,0033;0,0005;0,0003
3/9/1990;0;0;0;0;0;0,0003
4/9/1990;0,0006;-0,004;-0,0015;0,0003;0,0005;0,0003
5/9/1990;0,0042;0,0036;-0,0031;-0,0001;0,0054;0,0003
6/9/1990;-0,0099;0,0055;0,0042;-0,0059;0,0055;0,0003
7/9/1990;0,0068;-0,0048;-0,0026;0,0059;0,001;0,0003
10/9/1990;-0,0037;0,0044;0,0019;0,0022;-0,0021;0,0003
11/9/1990;-0,0013;-0,0016;0,0022;-0,0006;0,0031;0,0003
12/9/1990;0,003;-0,0026;-0,0007;0,0018;0,0043;0,0003
13/9/1990;-0,0101;0,0034;0,0014;-0,0006;0,0037;0,0003
14/9/1990;-0,0055;0,0005;-0,0018;-0,0007;0,0027;0,0003
17/9/1990;0,0023;-0,0041;-0,0004;-0,0008;0,0028;0,0003
18/9/1990;0,0012;-0,0067;-0,0011;0,0025;0,0031;0,0003
19/9/1990;-0,0049;0,0035;0,0062;-0,0013;0,005;0,0003
20/9/1990;-0,0147;0,0027;0,0071;-0,001;0,0075;0,0003
21/9/1990;-0,0018;-0,0063;-0,0014;0,0015;0,0027;0,0003
24/9/1990;-0,0198;-0,0001;0,005;-0,0029;0,006;0,0003
25/9/1990;0,0089;-0,0093;-0,0091;0,0073;-0,0048;0,0003
26/9/1990;-0,0106;-0,0016;0,0016;0,002;0,0021;0,0003
